"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"0400000US53","Washington","7740984","*****",
"1400000US53001950100","Census Tract 9501; Adams County; Washington","2731","244",
"1400000US53001950200","Census Tract 9502; Adams County; Washington","1872","463",
"1400000US53001950301","Census Tract 9503.01; Adams County; Washington","1618","368",
"1400000US53001950302","Census Tract 9503.02; Adams County; Washington","2769","532",
"1400000US53001950303","Census Tract 9503.03; Adams County; Washington","2722","479",
"1400000US53001950400","Census Tract 9504; Adams County; Washington","3007","357",
"1400000US53001950500","Census Tract 9505; Adams County; Washington","5971","391",
"1400000US53003960100","Census Tract 9601; Asotin County; Washington","4300","434",
"1400000US53003960200","Census Tract 9602; Asotin County; Washington","4536","545",
"1400000US53003960300","Census Tract 9603; Asotin County; Washington","3289","320",
"1400000US53003960400","Census Tract 9604; Asotin County; Washington","2489","360",
"1400000US53003960500","Census Tract 9605; Asotin County; Washington","3764","335",
"1400000US53003960600","Census Tract 9606; Asotin County; Washington","4046","408",
"1400000US53005010100","Census Tract 101; Benton County; Washington","4966","474",
"1400000US53005010201","Census Tract 102.01; Benton County; Washington","6082","602",
"1400000US53005010203","Census Tract 102.03; Benton County; Washington","4624","800",
"1400000US53005010204","Census Tract 102.04; Benton County; Washington","2864","359",
"1400000US53005010300","Census Tract 103; Benton County; Washington","6010","1169",
"1400000US53005010400","Census Tract 104; Benton County; Washington","3802","596",
"1400000US53005010500","Census Tract 105; Benton County; Washington","3191","484",
"1400000US53005010600","Census Tract 106; Benton County; Washington","4740","495",
"1400000US53005010701","Census Tract 107.01; Benton County; Washington","2152","287",
"1400000US53005010703","Census Tract 107.03; Benton County; Washington","3628","600",
"1400000US53005010705","Census Tract 107.05; Benton County; Washington","6142","581",
"1400000US53005010707","Census Tract 107.07; Benton County; Washington","3852","419",
"1400000US53005010708","Census Tract 107.08; Benton County; Washington","4616","444",
"1400000US53005010807","Census Tract 108.07; Benton County; Washington","1973","512",
"1400000US53005010809","Census Tract 108.09; Benton County; Washington","6135","759",
"1400000US53005010810","Census Tract 108.10; Benton County; Washington","4893","531",
"1400000US53005010811","Census Tract 108.11; Benton County; Washington","6034","771",
"1400000US53005010814","Census Tract 108.14; Benton County; Washington","5147","539",
"1400000US53005010815","Census Tract 108.15; Benton County; Washington","9769","925",
"1400000US53005010816","Census Tract 108.16; Benton County; Washington","5006","539",
"1400000US53005010817","Census Tract 108.17; Benton County; Washington","6641","779",
"1400000US53005010818","Census Tract 108.18; Benton County; Washington","3577","591",
"1400000US53005010819","Census Tract 108.19; Benton County; Washington","3356","366",
"1400000US53005010820","Census Tract 108.20; Benton County; Washington","3775","682",
"1400000US53005010901","Census Tract 109.01; Benton County; Washington","6335","822",
"1400000US53005010902","Census Tract 109.02; Benton County; Washington","5909","922",
"1400000US53005011001","Census Tract 110.01; Benton County; Washington","5859","1096",
"1400000US53005011002","Census Tract 110.02; Benton County; Washington","4717","546",
"1400000US53005011100","Census Tract 111; Benton County; Washington","7937","1001",
"1400000US53005011201","Census Tract 112.01; Benton County; Washington","4069","728",
"1400000US53005011202","Census Tract 112.02; Benton County; Washington","3221","594",
"1400000US53005011300","Census Tract 113; Benton County; Washington","5010","780",
"1400000US53005011401","Census Tract 114.01; Benton County; Washington","3827","671",
"1400000US53005011402","Census Tract 114.02; Benton County; Washington","5495","746",
"1400000US53005011501","Census Tract 115.01; Benton County; Washington","7093","812",
"1400000US53005011504","Census Tract 115.04; Benton County; Washington","3060","378",
"1400000US53005011505","Census Tract 115.05; Benton County; Washington","4785","717",
"1400000US53005011506","Census Tract 115.06; Benton County; Washington","7405","967",
"1400000US53005011600","Census Tract 116; Benton County; Washington","1015","264",
"1400000US53005011701","Census Tract 117.01; Benton County; Washington","2888","418",
"1400000US53005011702","Census Tract 117.02; Benton County; Washington","5164","930",
"1400000US53005011801","Census Tract 118.01; Benton County; Washington","3668","722",
"1400000US53005011802","Census Tract 118.02; Benton County; Washington","3038","539",
"1400000US53005011900","Census Tract 119; Benton County; Washington","6754","738",
"1400000US53005012000","Census Tract 120; Benton County; Washington","0","13",
"1400000US53007960100","Census Tract 9601; Chelan County; Washington","2439","318",
"1400000US53007960201","Census Tract 9602.01; Chelan County; Washington","4262","604",
"1400000US53007960202","Census Tract 9602.02; Chelan County; Washington","2246","518",
"1400000US53007960203","Census Tract 9602.03; Chelan County; Washington","1062","328",
"1400000US53007960301","Census Tract 9603.01; Chelan County; Washington","2177","346",
"1400000US53007960302","Census Tract 9603.02; Chelan County; Washington","3204","706",
"1400000US53007960303","Census Tract 9603.03; Chelan County; Washington","1926","422",
"1400000US53007960400","Census Tract 9604; Chelan County; Washington","4318","696",
"1400000US53007960501","Census Tract 9605.01; Chelan County; Washington","2456","490",
"1400000US53007960502","Census Tract 9605.02; Chelan County; Washington","5226","736",
"1400000US53007960600","Census Tract 9606; Chelan County; Washington","4281","365",
"1400000US53007960700","Census Tract 9607; Chelan County; Washington","3859","379",
"1400000US53007960801","Census Tract 9608.01; Chelan County; Washington","2968","481",
"1400000US53007960803","Census Tract 9608.03; Chelan County; Washington","3835","547",
"1400000US53007960804","Census Tract 9608.04; Chelan County; Washington","5202","540",
"1400000US53007961001","Census Tract 9610.01; Chelan County; Washington","2549","400",
"1400000US53007961002","Census Tract 9610.02; Chelan County; Washington","3564","405",
"1400000US53007961101","Census Tract 9611.01; Chelan County; Washington","4229","523",
"1400000US53007961102","Census Tract 9611.02; Chelan County; Washington","5997","1092",
"1400000US53007961200","Census Tract 9612; Chelan County; Washington","4030","552",
"1400000US53007961301","Census Tract 9613.01; Chelan County; Washington","1230","158",
"1400000US53007961303","Census Tract 9613.03; Chelan County; Washington","4226","708",
"1400000US53007961304","Census Tract 9613.04; Chelan County; Washington","4232","406",
"1400000US53009000300","Census Tract 3; Clallam County; Washington","4460","290",
"1400000US53009000600","Census Tract 6; Clallam County; Washington","3769","473",
"1400000US53009000700","Census Tract 7; Clallam County; Washington","4102","423",
"1400000US53009000800","Census Tract 8; Clallam County; Washington","4282","418",
"1400000US53009000900","Census Tract 9; Clallam County; Washington","3172","327",
"1400000US53009001000","Census Tract 10; Clallam County; Washington","2354","268",
"1400000US53009001100","Census Tract 11; Clallam County; Washington","3118","354",
"1400000US53009001200","Census Tract 12; Clallam County; Washington","4069","425",
"1400000US53009001300","Census Tract 13; Clallam County; Washington","3056","390",
"1400000US53009001400","Census Tract 14; Clallam County; Washington","5206","643",
"1400000US53009001500","Census Tract 15; Clallam County; Washington","2352","276",
"1400000US53009001600","Census Tract 16; Clallam County; Washington","3325","421",
"1400000US53009001701","Census Tract 17.01; Clallam County; Washington","2012","386",
"1400000US53009001702","Census Tract 17.02; Clallam County; Washington","3043","430",
"1400000US53009001800","Census Tract 18; Clallam County; Washington","3215","426",
"1400000US53009001901","Census Tract 19.01; Clallam County; Washington","3348","490",
"1400000US53009001902","Census Tract 19.02; Clallam County; Washington","2968","550",
"1400000US53009002001","Census Tract 20.01; Clallam County; Washington","2633","328",
"1400000US53009002002","Census Tract 20.02; Clallam County; Washington","4135","528",
"1400000US53009002100","Census Tract 21; Clallam County; Washington","3918","396",
"1400000US53009002301","Census Tract 23.01; Clallam County; Washington","1853","268",
"1400000US53009002302","Census Tract 23.02; Clallam County; Washington","2964","481",
"1400000US53009002400","Census Tract 24; Clallam County; Washington","2711","454",
"1400000US53009940000","Census Tract 9400; Clallam County; Washington","1528","171",
"1400000US53009990100","Census Tract 9901; Clallam County; Washington","0","13",
"1400000US53011040101","Census Tract 401.01; Clark County; Washington","4803","796",
"1400000US53011040102","Census Tract 401.02; Clark County; Washington","3660","526",
"1400000US53011040201","Census Tract 402.01; Clark County; Washington","8449","1820",
"1400000US53011040202","Census Tract 402.02; Clark County; Washington","3721","490",
"1400000US53011040203","Census Tract 402.03; Clark County; Washington","4811","425",
"1400000US53011040301","Census Tract 403.01; Clark County; Washington","2045","210",
"1400000US53011040303","Census Tract 403.03; Clark County; Washington","6890","520",
"1400000US53011040304","Census Tract 403.04; Clark County; Washington","3421","437",
"1400000US53011040305","Census Tract 403.05; Clark County; Washington","3234","442",
"1400000US53011040403","Census Tract 404.03; Clark County; Washington","4402","516",
"1400000US53011040407","Census Tract 404.07; Clark County; Washington","6863","1242",
"1400000US53011040408","Census Tract 404.08; Clark County; Washington","3786","337",
"1400000US53011040409","Census Tract 404.09; Clark County; Washington","2483","281",
"1400000US53011040411","Census Tract 404.11; Clark County; Washington","2553","369",
"1400000US53011040412","Census Tract 404.12; Clark County; Washington","5768","578",
"1400000US53011040413","Census Tract 404.13; Clark County; Washington","3153","487",
"1400000US53011040414","Census Tract 404.14; Clark County; Washington","6419","787",
"1400000US53011040415","Census Tract 404.15; Clark County; Washington","4399","606",
"1400000US53011040416","Census Tract 404.16; Clark County; Washington","3886","528",
"1400000US53011040504","Census Tract 405.04; Clark County; Washington","5604","526",
"1400000US53011040505","Census Tract 405.05; Clark County; Washington","6160","591",
"1400000US53011040507","Census Tract 405.07; Clark County; Washington","2452","505",
"1400000US53011040509","Census Tract 405.09; Clark County; Washington","3897","896",
"1400000US53011040510","Census Tract 405.10; Clark County; Washington","5128","554",
"1400000US53011040511","Census Tract 405.11; Clark County; Washington","2428","254",
"1400000US53011040512","Census Tract 405.12; Clark County; Washington","2271","312",
"1400000US53011040513","Census Tract 405.13; Clark County; Washington","4454","472",
"1400000US53011040603","Census Tract 406.03; Clark County; Washington","5098","555",
"1400000US53011040604","Census Tract 406.04; Clark County; Washington","7051","732",
"1400000US53011040605","Census Tract 406.05; Clark County; Washington","6883","723",
"1400000US53011040608","Census Tract 406.08; Clark County; Washington","4775","542",
"1400000US53011040609","Census Tract 406.09; Clark County; Washington","5824","665",
"1400000US53011040610","Census Tract 406.10; Clark County; Washington","3907","386",
"1400000US53011040703","Census Tract 407.03; Clark County; Washington","6365","797",
"1400000US53011040706","Census Tract 407.06; Clark County; Washington","4475","722",
"1400000US53011040707","Census Tract 407.07; Clark County; Washington","3500","738",
"1400000US53011040709","Census Tract 407.09; Clark County; Washington","5728","649",
"1400000US53011040711","Census Tract 407.11; Clark County; Washington","3267","435",
"1400000US53011040712","Census Tract 407.12; Clark County; Washington","6970","1194",
"1400000US53011040713","Census Tract 407.13; Clark County; Washington","4222","820",
"1400000US53011040714","Census Tract 407.14; Clark County; Washington","6080","1009",
"1400000US53011040715","Census Tract 407.15; Clark County; Washington","2627","368",
"1400000US53011040803","Census Tract 408.03; Clark County; Washington","5194","563",
"1400000US53011040806","Census Tract 408.06; Clark County; Washington","6049","754",
"1400000US53011040808","Census Tract 408.08; Clark County; Washington","1875","218",
"1400000US53011040809","Census Tract 408.09; Clark County; Washington","6100","691",
"1400000US53011040810","Census Tract 408.10; Clark County; Washington","4287","606",
"1400000US53011040811","Census Tract 408.11; Clark County; Washington","3378","347",
"1400000US53011040812","Census Tract 408.12; Clark County; Washington","4835","808",
"1400000US53011040904","Census Tract 409.04; Clark County; Washington","6194","551",
"1400000US53011040905","Census Tract 409.05; Clark County; Washington","3739","737",
"1400000US53011040907","Census Tract 409.07; Clark County; Washington","7044","1031",
"1400000US53011040908","Census Tract 409.08; Clark County; Washington","6853","968",
"1400000US53011040909","Census Tract 409.09; Clark County; Washington","5086","555",
"1400000US53011040910","Census Tract 409.10; Clark County; Washington","4500","715",
"1400000US53011041003","Census Tract 410.03; Clark County; Washington","4107","544",
"1400000US53011041005","Census Tract 410.05; Clark County; Washington","2527","403",
"1400000US53011041007","Census Tract 410.07; Clark County; Washington","3640","730",
"1400000US53011041008","Census Tract 410.08; Clark County; Washington","4073","743",
"1400000US53011041009","Census Tract 410.09; Clark County; Washington","3729","435",
"1400000US53011041010","Census Tract 410.10; Clark County; Washington","4491","326",
"1400000US53011041011","Census Tract 410.11; Clark County; Washington","4042","710",
"1400000US53011041104","Census Tract 411.04; Clark County; Washington","4253","515",
"1400000US53011041105","Census Tract 411.05; Clark County; Washington","6248","787",
"1400000US53011041107","Census Tract 411.07; Clark County; Washington","3284","460",
"1400000US53011041110","Census Tract 411.10; Clark County; Washington","7629","1109",
"1400000US53011041111","Census Tract 411.11; Clark County; Washington","4515","902",
"1400000US53011041112","Census Tract 411.12; Clark County; Washington","7216","685",
"1400000US53011041113","Census Tract 411.13; Clark County; Washington","2299","586",
"1400000US53011041114","Census Tract 411.14; Clark County; Washington","4100","473",
"1400000US53011041203","Census Tract 412.03; Clark County; Washington","5327","654",
"1400000US53011041205","Census Tract 412.05; Clark County; Washington","4650","635",
"1400000US53011041206","Census Tract 412.06; Clark County; Washington","7139","1748",
"1400000US53011041207","Census Tract 412.07; Clark County; Washington","2361","599",
"1400000US53011041208","Census Tract 412.08; Clark County; Washington","3537","637",
"1400000US53011041309","Census Tract 413.09; Clark County; Washington","4626","662",
"1400000US53011041310","Census Tract 413.10; Clark County; Washington","4597","640",
"1400000US53011041312","Census Tract 413.12; Clark County; Washington","5736","648",
"1400000US53011041313","Census Tract 413.13; Clark County; Washington","2727","395",
"1400000US53011041317","Census Tract 413.17; Clark County; Washington","6416","777",
"1400000US53011041319","Census Tract 413.19; Clark County; Washington","6144","785",
"1400000US53011041320","Census Tract 413.20; Clark County; Washington","7803","1489",
"1400000US53011041321","Census Tract 413.21; Clark County; Washington","3460","669",
"1400000US53011041322","Census Tract 413.22; Clark County; Washington","5125","643",
"1400000US53011041323","Census Tract 413.23; Clark County; Washington","5878","651",
"1400000US53011041325","Census Tract 413.25; Clark County; Washington","5143","449",
"1400000US53011041326","Census Tract 413.26; Clark County; Washington","2937","351",
"1400000US53011041328","Census Tract 413.28; Clark County; Washington","6018","654",
"1400000US53011041329","Census Tract 413.29; Clark County; Washington","4953","596",
"1400000US53011041330","Census Tract 413.30; Clark County; Washington","5175","845",
"1400000US53011041331","Census Tract 413.31; Clark County; Washington","2924","422",
"1400000US53011041332","Census Tract 413.32; Clark County; Washington","3762","541",
"1400000US53011041333","Census Tract 413.33; Clark County; Washington","3407","460",
"1400000US53011041334","Census Tract 413.34; Clark County; Washington","3770","1087",
"1400000US53011041335","Census Tract 413.35; Clark County; Washington","5747","481",
"1400000US53011041336","Census Tract 413.36; Clark County; Washington","2767","345",
"1400000US53011041337","Census Tract 413.37; Clark County; Washington","3950","930",
"1400000US53011041400","Census Tract 414; Clark County; Washington","6226","798",
"1400000US53011041500","Census Tract 415; Clark County; Washington","2994","397",
"1400000US53011041600","Census Tract 416; Clark County; Washington","3806","798",
"1400000US53011041700","Census Tract 417; Clark County; Washington","4051","658",
"1400000US53011041800","Census Tract 418; Clark County; Washington","4412","648",
"1400000US53011041900","Census Tract 419; Clark County; Washington","2220","271",
"1400000US53011042000","Census Tract 420; Clark County; Washington","1755","226",
"1400000US53011042100","Census Tract 421; Clark County; Washington","3123","428",
"1400000US53011042300","Census Tract 423; Clark County; Washington","3641","463",
"1400000US53011042400","Census Tract 424; Clark County; Washington","2327","205",
"1400000US53011042500","Census Tract 425; Clark County; Washington","1778","233",
"1400000US53011042601","Census Tract 426.01; Clark County; Washington","2346","350",
"1400000US53011042602","Census Tract 426.02; Clark County; Washington","4371","636",
"1400000US53011042700","Census Tract 427; Clark County; Washington","5544","839",
"1400000US53011042800","Census Tract 428; Clark County; Washington","2671","365",
"1400000US53011042900","Census Tract 429; Clark County; Washington","1850","280",
"1400000US53011043000","Census Tract 430; Clark County; Washington","1979","385",
"1400000US53011043100","Census Tract 431; Clark County; Washington","4144","647",
"1400000US53013960200","Census Tract 9602; Columbia County; Washington","3996","*****",
"1400000US53015000400","Census Tract 4; Cowlitz County; Washington","4163","479",
"1400000US53015000501","Census Tract 5.01; Cowlitz County; Washington","3442","566",
"1400000US53015000502","Census Tract 5.02; Cowlitz County; Washington","4743","500",
"1400000US53015000601","Census Tract 6.01; Cowlitz County; Washington","3783","485",
"1400000US53015000602","Census Tract 6.02; Cowlitz County; Washington","3171","622",
"1400000US53015000702","Census Tract 7.02; Cowlitz County; Washington","3066","321",
"1400000US53015000703","Census Tract 7.03; Cowlitz County; Washington","1949","323",
"1400000US53015000705","Census Tract 7.05; Cowlitz County; Washington","3711","372",
"1400000US53015000706","Census Tract 7.06; Cowlitz County; Washington","3871","689",
"1400000US53015000801","Census Tract 8.01; Cowlitz County; Washington","3831","802",
"1400000US53015000802","Census Tract 8.02; Cowlitz County; Washington","3495","553",
"1400000US53015000901","Census Tract 9.01; Cowlitz County; Washington","4495","806",
"1400000US53015000902","Census Tract 9.02; Cowlitz County; Washington","3354","414",
"1400000US53015001000","Census Tract 10; Cowlitz County; Washington","1279","246",
"1400000US53015001100","Census Tract 11; Cowlitz County; Washington","6102","659",
"1400000US53015001200","Census Tract 12; Cowlitz County; Washington","4535","573",
"1400000US53015001300","Census Tract 13; Cowlitz County; Washington","4222","523",
"1400000US53015001501","Census Tract 15.01; Cowlitz County; Washington","3881","655",
"1400000US53015001503","Census Tract 15.03; Cowlitz County; Washington","6938","548",
"1400000US53015001504","Census Tract 15.04; Cowlitz County; Washington","3524","560",
"1400000US53015001601","Census Tract 16.01; Cowlitz County; Washington","4026","262",
"1400000US53015001602","Census Tract 16.02; Cowlitz County; Washington","2703","303",
"1400000US53015001700","Census Tract 17; Cowlitz County; Washington","5799","650",
"1400000US53015001800","Census Tract 18; Cowlitz County; Washington","2035","305",
"1400000US53015001900","Census Tract 19; Cowlitz County; Washington","4381","623",
"1400000US53015002001","Census Tract 20.01; Cowlitz County; Washington","3878","471",
"1400000US53015002003","Census Tract 20.03; Cowlitz County; Washington","4787","627",
"1400000US53015002004","Census Tract 20.04; Cowlitz County; Washington","1654","411",
"1400000US53015002100","Census Tract 21; Cowlitz County; Washington","4081","385",
"1400000US53015980000","Census Tract 9800; Cowlitz County; Washington","640","254",
"1400000US53017950101","Census Tract 9501.01; Douglas County; Washington","3892","535",
"1400000US53017950102","Census Tract 9501.02; Douglas County; Washington","3376","419",
"1400000US53017950200","Census Tract 9502; Douglas County; Washington","2881","342",
"1400000US53017950300","Census Tract 9503; Douglas County; Washington","7728","722",
"1400000US53017950400","Census Tract 9504; Douglas County; Washington","7497","643",
"1400000US53017950500","Census Tract 9505; Douglas County; Washington","3580","521",
"1400000US53017950600","Census Tract 9506; Douglas County; Washington","4313","431",
"1400000US53017950700","Census Tract 9507; Douglas County; Washington","3934","601",
"1400000US53017950800","Census Tract 9508; Douglas County; Washington","6532","826",
"1400000US53019940000","Census Tract 9400; Ferry County; Washington","1711","163",
"1400000US53019970100","Census Tract 9701; Ferry County; Washington","2743","241",
"1400000US53019970200","Census Tract 9702; Ferry County; Washington","2872","249",
"1400000US53021020101","Census Tract 201.01; Franklin County; Washington","1480","298",
"1400000US53021020102","Census Tract 201.02; Franklin County; Washington","6703","1296",
"1400000US53021020103","Census Tract 201.03; Franklin County; Washington","4110","952",
"1400000US53021020201","Census Tract 202.01; Franklin County; Washington","1933","566",
"1400000US53021020202","Census Tract 202.02; Franklin County; Washington","3898","602",
"1400000US53021020300","Census Tract 203; Franklin County; Washington","5696","811",
"1400000US53021020401","Census Tract 204.01; Franklin County; Washington","1563","316",
"1400000US53021020402","Census Tract 204.02; Franklin County; Washington","1259","173",
"1400000US53021020403","Census Tract 204.03; Franklin County; Washington","3407","541",
"1400000US53021020404","Census Tract 204.04; Franklin County; Washington","2908","845",
"1400000US53021020501","Census Tract 205.01; Franklin County; Washington","4879","673",
"1400000US53021020503","Census Tract 205.03; Franklin County; Washington","3680","590",
"1400000US53021020504","Census Tract 205.04; Franklin County; Washington","6401","832",
"1400000US53021020603","Census Tract 206.03; Franklin County; Washington","5019","611",
"1400000US53021020605","Census Tract 206.05; Franklin County; Washington","10176","788",
"1400000US53021020606","Census Tract 206.06; Franklin County; Washington","8768","884",
"1400000US53021020607","Census Tract 206.07; Franklin County; Washington","7383","853",
"1400000US53021020608","Census Tract 206.08; Franklin County; Washington","7545","920",
"1400000US53021020700","Census Tract 207; Franklin County; Washington","1384","769",
"1400000US53021020801","Census Tract 208.01; Franklin County; Washington","3321","625",
"1400000US53021020802","Census Tract 208.02; Franklin County; Washington","6163","684",
"1400000US53021980100","Census Tract 9801; Franklin County; Washington","0","13",
"1400000US53023970300","Census Tract 9703; Garfield County; Washington","2326","*****",
"1400000US53025010100","Census Tract 101; Grant County; Washington","3575","375",
"1400000US53025010200","Census Tract 102; Grant County; Washington","3366","567",
"1400000US53025010300","Census Tract 103; Grant County; Washington","5216","943",
"1400000US53025010401","Census Tract 104.01; Grant County; Washington","3643","405",
"1400000US53025010402","Census Tract 104.02; Grant County; Washington","5387","387",
"1400000US53025010500","Census Tract 105; Grant County; Washington","3054","686",
"1400000US53025010600","Census Tract 106; Grant County; Washington","7949","175",
"1400000US53025010700","Census Tract 107; Grant County; Washington","3180","513",
"1400000US53025010800","Census Tract 108; Grant County; Washington","5310","677",
"1400000US53025010901","Census Tract 109.01; Grant County; Washington","1376","280",
"1400000US53025010903","Census Tract 109.03; Grant County; Washington","5773","700",
"1400000US53025010904","Census Tract 109.04; Grant County; Washington","6587","1301",
"1400000US53025011001","Census Tract 110.01; Grant County; Washington","6285","776",
"1400000US53025011002","Census Tract 110.02; Grant County; Washington","6551","1030",
"1400000US53025011101","Census Tract 111.01; Grant County; Washington","4587","657",
"1400000US53025011102","Census Tract 111.02; Grant County; Washington","3206","514",
"1400000US53025011200","Census Tract 112; Grant County; Washington","6823","987",
"1400000US53025011300","Census Tract 113; Grant County; Washington","3758","348",
"1400000US53025011401","Census Tract 114.01; Grant County; Washington","2434","561",
"1400000US53025011403","Census Tract 114.03; Grant County; Washington","4384","453",
"1400000US53025011404","Census Tract 114.04; Grant County; Washington","1288","356",
"1400000US53025011405","Census Tract 114.05; Grant County; Washington","2853","667",
"1400000US53025011406","Census Tract 114.06; Grant County; Washington","3843","854",
"1400000US53027000201","Census Tract 2.01; Grays Harbor County; Washington","7076","25",
"1400000US53027000202","Census Tract 2.02; Grays Harbor County; Washington","1675","557",
"1400000US53027000300","Census Tract 3; Grays Harbor County; Washington","3905","418",
"1400000US53027000401","Census Tract 4.01; Grays Harbor County; Washington","2935","618",
"1400000US53027000402","Census Tract 4.02; Grays Harbor County; Washington","3630","443",
"1400000US53027000501","Census Tract 5.01; Grays Harbor County; Washington","3707","596",
"1400000US53027000502","Census Tract 5.02; Grays Harbor County; Washington","3448","584",
